Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
Biociências e Biotecnologia em Saúde,31010016030P0,FUNDAÇÃO OSWALDO CRUZ - FIOCRUZ,FIOCRUZ,RJ,5,5,-,-,CIÊNCIAS BIOLÓGICAS III
BIOLOGIA ANIMAL,33003017052P6,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,5,5,-,-,CIÊNCIAS BIOLÓGICAS III
BIOLOGIA DA INTERAÇÃO PATÓGENO HOSPEDEIRO,13009001041P0,CENTRO DE PESQUISA LEÔNIDAS E MARIA DEANE - FIOCRUZ,CPQLMD,AM,4,4,-,-,CIÊNCIAS BIOLÓGICAS III
BIOLOGIA DA RELAÇÃO PARASITO-HOSPEDEIRO,52001016053P3,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,4,4,-,-,CIÊNCIAS BIOLÓGICAS III
BIOLOGIA DE AGENTES INFECCIOSOS E PARASITÁRIOS,15001016040P4,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,6,6,-,-,CIÊNCIAS BIOLÓGICAS III
BIOLOGIA EXPERIMENTAL,10001018002P1,UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,RO,4,4,-,-,CIÊNCIAS BIOLÓGICAS III
BIOLOGIA MICROBIANA,20009011041P6,UNIVERSIDADE CEUMA,UNICEUMA,MA,A,-,-,-,CIÊNCIAS BIOLÓGICAS III
Biologia Microbiana,53001010094P8,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,CIÊNCIAS BIOLÓGICAS III
BIOLOGIA PARASITÁRIA,31010016001P0,FUNDAÇÃO OSWALDO CRUZ - FIOCRUZ,FIOCRUZ,RJ,7,7,-,-,CIÊNCIAS BIOLÓGICAS III
Biologia Parasitaria,27001016028P8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,3,-,-,-,CIÊNCIAS BIOLÓGICAS III
Biologia Parasitária,23001011073P2,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,-,-,-,CIÊNCIAS BIOLÓGICAS III
BIOLOGIA PARASITÁRIA NA AMAZÔNIA,15006018002P7,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,PA,4,4,-,-,CIÊNCIAS BIOLÓGICAS III
CIÊNCIAS (BIOLOGIA DA RELAÇÃO PATÓGENO-HOSPEDEIRO),33002010026P9,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,CIÊNCIAS BIOLÓGICAS III
CIÊNCIAS BIOLÓGICAS (MICROBIOLOGIA),33002010022P3,UNIVERSIDADE DE SÃO PAULO,USP,SP,6,6,-,-,CIÊNCIAS BIOLÓGICAS III
CIÊNCIAS BIOLÓGICAS (MICROBIOLOGIA),32001010008P1,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,7,7,-,-,CIÊNCIAS BIOLÓGICAS III
CIÊNCIAS (MICROBIOLOGIA),31001017017P8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,7,7,-,-,CIÊNCIAS BIOLÓGICAS III
IMUNOLOGIA,28001010025P5,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,5,5,-,-,CIÊNCIAS BIOLÓGICAS III
IMUNOLOGIA,33002010121P1,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,CIÊNCIAS BIOLÓGICAS III
IMUNOLOGIA BÁSICA E APLICADA,12001015034P6,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,4,4,-,-,CIÊNCIAS BIOLÓGICAS III
IMUNOLOGIA BÁSICA E APLICADA,33002029026P4,"UNIVERSIDADE DE SÃO PAULO, RIBEIRÃO PRETO",USP-RP,SP,7,7,-,-,CIÊNCIAS BIOLÓGICAS III
Imunologia e Inflamaçao,31001017147P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,CIÊNCIAS BIOLÓGICAS III
IMUNOLOGIA E PARASITOLOGIA APLICADAS,32006012004P8,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,6,6,-,-,CIÊNCIAS BIOLÓGICAS III
IMUNOLOGIA E PARASITOLOGIA BÁSICAS E APLICADAS,50001019031P4,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,3,-,-,-,CIÊNCIAS BIOLÓGICAS III
MICROBIOLOGIA,33004153074P9,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, SÃO JOSÉ DO RIO PRETO",UNESP-SJRP,SP,5,5,-,-,CIÊNCIAS BIOLÓGICAS III
MICROBIOLOGIA,31004016018P3,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,4,4,-,-,CIÊNCIAS BIOLÓGICAS III
MICROBIOLOGIA,28001010171P1,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,3,-,-,-,CIÊNCIAS BIOLÓGICAS III
MICROBIOLOGIA,40002012016P3,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,5,5,-,-,CIÊNCIAS BIOLÓGICAS III
MICROBIOLOGIA APLICADA,32001010095P1,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,-,-,3,-,CIÊNCIAS BIOLÓGICAS III
MICROBIOLOGIA E IMUNOLOGIA,33009015003P3,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,7,7,-,-,CIÊNCIAS BIOLÓGICAS III
Microbiologia e Parasitologia,42003016022P5,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,4,4,-,-,CIÊNCIAS BIOLÓGICAS III
MICROBIOLOGIA E PARASITOLOGIA APLICADAS,31003010058P2,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,CIÊNCIAS BIOLÓGICAS III
MICROBIOLOGIA MÉDICA,22001018042P7,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,5,5,-,-,CIÊNCIAS BIOLÓGICAS III
"MICROBIOLOGIA, PARASITOLOGIA E PATOLOGIA",40001016044P0,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,5,5,-,-,CIÊNCIAS BIOLÓGICAS III
PARASITOLOGIA,32001010010P6,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,7,7,-,-,CIÊNCIAS BIOLÓGICAS III
PATOLOGIA MOLECULAR,53001010031P6,UNIVERSIDADE DE BRASÍLIA,UNB,DF,6,6,-,-,CIÊNCIAS BIOLÓGICAS III
VIROLOGIA,15012018001P7,INSTITUTO EVANDRO CHAGAS,IEC,PA,4,4,-,-,CIÊNCIAS BIOLÓGICAS III